# PPO-Bi detailed evaluation results (greedy inference)

[summary]
generated_at_utc: 2026-06-28T12:28:45+00:00
run_id: 9gj82ve1
checkpoint: runs/9gj82ve1/final_model.pt
global_step: 1001472
algorithm: PPO_BI
inference_mode: greedy
sampling_temperature: 1.0
reward: delta_seh
masking: r2_available
eval_r2_pool: train
r2_arch: lookup
starts_file: data/Bi/reactants_compact_test.pkl
num_start_molecules: 2000
start_offset: 0
total_starts: 2000
total_reactions: 5949
max_qed: 0.944
best_qed: 0.944
mean_delta_qed: -0.25506049999999997
avg_delta_qed: -0.25506049999999997
avg_num_reactions: 2.9745
max_episode_len: 4
positive_delta_fraction: 0.9955
negative_delta_fraction: 0.0025
zero_delta_fraction: 0.002
results_file: run_detailed_results/internal/ppo/4_steps/compact/4s_delta_seh_9gj82ve1_compact_results.txt
max_seh: 1.027742624282837
best_seh: 1.027742624282837
mean_delta_seh: 0.6329683447869793
avg_delta_seh: 0.6329683447869793

[trajectories]
path_id	start_smiles	final_smiles	initial_qed	final_qed	max_qed	delta_qed	num_reactions	stopped
10	CC(C)OC(C)(C)C(=O)O	CC(C)OC(C)(C)C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.652	0.772	0.827	0.12	2	1
11	O=C(O)C(F)(F)CBr	O=C(Cc1ccc(-c2ccc3c(c2)CCO3)cc1)C(F)(F)CBr	0.66	0.717	0.765	0.05699999999999994	2	1
12	CC1CC1CN	CC1CC1CNCc1cc(-c2ccc3c(c2)CCO3)co1	0.495	0.91	0.91	0.41500000000000004	2	1
13	N#CC(N)CC(F)(F)F	N#CC(CC(F)(F)F)NCc1cc(-c2ccc3c(c2)CCO3)co1	0.582	0.902	0.929	0.32000000000000006	2	1
14	N[C@@H](CCOC(F)(F)F)C(=O)O	N[C@@H](CCOC(F)(F)F)C(=O)Cc1ccc(-c2ccc3cc4[nH]c(-c5cccc(-c6ccc7c(c6)CCO7)c5)cc4cc3c2)cc1	0.664	0.17	0.866	-0.494	4	1
15	CO[C@@H]1CNC[C@H]1O	CO[C@@H]1CNC[C@H]1C#Cc1ccc(-c2ccc3c(c2)CCO3)cc1C	0.461	0.856	0.856	0.39499999999999996	3	1
16	C[C@@H](O)[C@@H](CO)NC(=O)OC(C)(C)C	C[C@H]([C@@H](CO)NC(=O)OC(C)(C)C)N1C(=O)CC(CC(=O)Cc2ccc(-c3ccc4c(ccc5[nH]c(-c6ccc7c(c6)CCC7)cc54)c3)cc2)C1=O	0.617	0.131	0.617	-0.486	4	1
17	CC(C)(C)C(=O)CCC(=O)O	CC(C)(C)C(=O)CCC(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.676	0.237	0.825	-0.43900000000000006	3	1
18	CCC(C(=O)O)C(C)(F)F	CCC(C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1)C(C)(F)F	0.668	0.73	0.795	0.061999999999999944	2	1
19	C[C@H](CC(C)(F)F)C(=O)O	C[C@H](CC(C)(F)F)C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.668	0.234	0.795	-0.43400000000000005	3	1
20	C[C@@H]1C[C@H]1C(=O)O	C[C@@H]1C[C@H]1C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.527	0.849	0.849	0.32199999999999995	2	1
21	CCC(Br)C(=O)O	CCC(Br)C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.628	0.731	0.773	0.10299999999999998	2	1
22	CCC(CC)(NC)C(=O)O	CCC(CC)(NC)C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.616	0.824	0.872	0.20799999999999996	2	1
23	CC(C)(CC(F)(F)F)C(=O)O	CC(C)(CC(F)(F)F)C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.688	0.235	0.795	-0.45299999999999996	3	1
24	NC(CCC(F)(F)F)C(=O)O	NC(CCC(F)(F)F)C(=O)Cc1ccc(-c2ccc3cc4[nH]c(-c5ccc6c(c5)CCC6)cc4cc3c2)cc1	0.658	0.226	0.904	-0.43200000000000005	3	1
25	CC(C)COC[C@H](N)C(=O)O	CC(C)COC[C@H](N)C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5cccc(-c6ccc7c(c6)CCO7)c5)cc43)c2)cc1	0.598	0.167	0.841	-0.43099999999999994	4	1
26	CC(C)CSCC(=O)O	CC(C)CSCC(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.655	0.23	0.791	-0.42500000000000004	3	1
27	O[C@H]1C[C@H](OCC(F)(F)F)C1	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#C[C@H]1C[C@H](OCC(F)(F)F)C1	0.672	0.666	0.718	-0.006000000000000005	3	1
28	O=C(O)C1CC(F)C1	O=C(Cc1ccc(-c2ccc3c(c2)CCO3)cc1)C1CC(F)C1	0.553	0.848	0.848	0.29499999999999993	2	1
29	O=C(O)C1(CBr)COC1	O=C(Cc1ccc(-c2ccc3cc4[nH]c(-c5ccc6c(c5)CCC6)cc4cc3c2)cc1)C1(CBr)COC1	0.652	0.221	0.783	-0.43100000000000005	3	1
30	NCC12CCCC1C2(F)F	FC1(F)C2CCCC21CNCc1cc(-c2ccc3c(c2)CCO3)co1	0.595	0.872	0.92	0.277	2	1
31	CC(C)C(N)(C(=O)O)C(F)(F)F	CC(C)C(N)(C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1)C(F)(F)F	0.674	0.845	0.913	0.17099999999999993	2	1
32	N[C@H]1C[C@@H](CO)C[C@H]1N	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#CC[C@H]1C[C@@H](N)[C@@H](N)C1	0.428	0.819	0.819	0.39099999999999996	3	1
33	CC(C)C(O)(C(=O)O)C(F)(F)F	CC(C)C(O)(C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1)C(F)(F)F	0.676	0.842	0.912	0.16599999999999993	2	1
34	NCCC1(F)CCC1	FC1(CCNCc2cc(-c3ccc4c(c3)CCO4)co2)CCC1	0.578	0.809	0.834	0.2310000000000001	2	1
35	CCO[C@@H]1C[C@H]1C(=O)O	CCO[C@@H]1C[C@H]1C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.605	0.257	0.83	-0.348	3	1
36	NC1CCCC(O)C1	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#CC1CCCC(N)C1	0.475	0.783	0.783	0.30800000000000005	3	1
37	CC(CC(=O)O)CC(F)(F)F	CC(CC(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1)CC(F)(F)F	0.703	0.226	0.777	-0.477	3	1
38	CC(C(=O)O)N(C)CC(F)(F)F	CC(C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1)N(C)CC(F)(F)F	0.711	0.753	0.82	0.04200000000000004	2	1
39	N[C@@H]1CCC[C@H]1O	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#C[C@@H]1CCC[C@H]1N	0.446	0.805	0.805	0.35900000000000004	3	1
40	OC[C@@H]1CNC[C@H]1F	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#CC[C@@H]1CNC[C@H]1F	0.489	0.841	0.841	0.352	3	1
41	CC(C)CCC(C)(N)C(=O)O	CC(C)CCC(C)(N)C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.648	0.218	0.87	-0.43000000000000005	3	1
42	COC1(C(F)(F)C(=O)O)CCC1	COC1(C(F)(F)C(=O)Cc2ccc(-c3ccc4c(ccc5[nH]c(-c6ccc7c(c6)CCC7)cc54)c3)cc2)CCC1	0.711	0.227	0.82	-0.484	3	1
43	CCC(C)CC(C)C(=O)O	CCC(C)CC(C)C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.656	0.67	0.748	0.014000000000000012	2	1
44	CC(C)(C#N)C(=O)O	CC(C)(C#N)C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.542	0.859	0.859	0.31699999999999995	2	1
45	COC1CCC1C(=O)O	COC1CCC1C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.592	0.839	0.849	0.247	2	1
46	COC(CCSC)C(=O)O	COC(CCSC)C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.654	0.711	0.772	0.05699999999999994	2	1
47	CC1C(C(=O)O)C1(F)F	CC1C(C(=O)Cc2ccc(-c3ccc4c(c3)CCO4)cc2)C1(F)F	0.583	0.836	0.836	0.253	2	1
48	C#CC1CC1CO	C#CC1CC1CC#Cc1ccc(-c2ccc3c(c2)CCO3)cc1C	0.464	0.736	0.736	0.27199999999999996	3	1
49	CC(Cl)CCC#N	CC(CCc1nn[nH]n1)OC1CCCC12CCOCC2	0.507	0.891	0.891	0.384	2	1
50	CC(C)(CBr)CC(=O)O	CC(C)(CBr)CC(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.698	0.202	0.723	-0.49599999999999994	3	1
51	CC(O)COCC(F)(F)F	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#CC(C)COCC(F)(F)F	0.662	0.688	0.748	0.025999999999999912	3	1
52	C[C@@H](O)COCC(F)(F)F	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#C[C@H](C)COCC(F)(F)F	0.662	0.688	0.748	0.025999999999999912	3	1
53	CC(C)CC[C@@H](N)C(=O)O	CC(C)CC[C@@H](N)C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.616	0.227	0.875	-0.389	3	1
54	CC(C)(C(N)=O)C(=O)O	CC(C)(C(N)=O)C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.499	0.86	0.86	0.361	2	1
55	CC(CC(N)C(=O)O)C(F)(F)F	CC(CC(N)C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1)C(F)(F)F	0.689	0.219	0.893	-0.47	3	1
56	COCCC(C)(C)CC(=O)O	COCCC(C)(C)CC(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.663	0.213	0.76	-0.45000000000000007	3	1
57	CN(C)C(C)(CC(=O)O)C(F)F	CN(C)C(C)(CC(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5cccc(-c6ccc7c(c6)CCO7)c5)cc43)c2)cc1)C(F)F	0.704	0.177	0.793	-0.5269999999999999	4	1
58	CC(CN)C(C)(F)F	CC(CNCc1cc(-c2ccc3c(c2)CCO3)co1)C(C)(F)F	0.587	0.863	0.895	0.276	2	1
59	O=C(CCl)C1CCCO1	c1cc2c(cc1-c1coc(CNc3ncc(C4CCCO4)s3)c1)CCO2	0.546	0.701	0.922	0.15499999999999992	3	1
60	CC(CSC(F)F)C(=O)O	CC(CSC(F)F)C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.697	0.219	0.782	-0.478	3	1
61	CC(C)(CCC#N)C(=O)O	CC(C)(CCC#N)C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.646	0.768	0.826	0.122	2	1
62	CSC1CCCC1C(=O)O	CSC1CCCC1C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.666	0.245	0.833	-0.42100000000000004	3	1
63	CC(C)(OCC(F)(F)F)C(=O)O	CC(C)(OCC(F)(F)F)C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.725	0.727	0.813	0.0020000000000000018	2	1
64	COc1cc(C)c(O)c(C)c1	COc1cc(C)c(-c2ccc3cc4[nH]c(-c5ccc6c(c5)CCC6)cc4cc3c2)c(C)c1	0.667	0.319	0.699	-0.34800000000000003	3	1
65	CC(C)C1(C)CC1CO	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#CCC1CC1(C)C(C)C	0.599	0.619	0.66	0.020000000000000018	3	1
66	CC(C)(CS(N)(=O)=O)C(=O)O	CC(C)(CS(N)(=O)=O)C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.606	0.843	0.893	0.237	2	1
67	CC(C)C1(C)CC1C(=O)O	CC(C)C1(C)CC1C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.637	0.762	0.812	0.125	2	1
68	C=C[C@@H]1C[C@H]1CO	C=C[C@@H]1C[C@H]1CC#Cc1ccc(-c2ccc3c(c2)CCO3)cc1C	0.506	0.561	0.561	0.05500000000000005	3	1
69	COc1cc(F)ccc1O	COc1cc(F)ccc1-c1ccc2c(ccc3[nH]c(-c4cccc(-c5ccc6c(c5)CCO6)c4)cc32)c1	0.644	0.272	0.705	-0.372	4	1
70	C[C@@H](CC(=O)O)NC(=O)OC(C)(C)C	C[C@@H](CC(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5cccc(-c6ccc7c(c6)CCO7)c5)cc43)c2)cc1)NC(=O)OC(C)(C)C	0.726	0.174	0.872	-0.552	4	1
71	CC(C)(C#N)CCl	Cn1cncc1C(CCOCC(C)(C)C#N)CNCc1cc(-c2ccc3c(c2)OCC3)co1	0.481	0.437	0.742	-0.043999999999999984	3	1
72	O=C1NCCN2C[C@H](O)C[C@@H]12	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#C[C@@H]1C[C@H]2C(=O)NCCN2C1	0.451	0.783	0.783	0.332	3	1
73	CC(F)(F)c1ccc(O)cc1F	CC(F)(F)c1ccc(-c2ccc3c(ccc4[nH]c(-c5cccc(-c6cccc7c6CCO7)c5)cc43)c2)cc1F	0.697	0.246	0.7	-0.45099999999999996	4	1
74	COCc1cccc(O)c1	COCc1cccc(-c2ccc3c(ccc4[nH]c(-c5cccc(-c6ccc7c(c6)CCO7)c5)cc43)c2)c1	0.671	0.268	0.717	-0.403	4	1
75	COc1cc(O)cc(C(F)(F)F)c1	COc1cc(-c2ccc3c(ccc4[nH]c(-c5cccc(-c6ccc7c(c6)CCO7)c5)cc43)c2)cc(C(F)(F)F)c1	0.74	0.244	0.746	-0.496	4	1
76	CN(CCCO)CC(=O)N(C)C	CN(CCCN1C(=O)CC(Cc2nc3cc4c(cc3s2)OCCO4)C1=O)CC(=O)N(C)C	0.604	0.55	0.604	-0.05399999999999994	2	1
77	Oc1ccccc1OC(F)(F)F	FC(F)(F)Oc1ccccc1-c1ccc2cc3[nH]c(-c4cccc(-c5ccc6c(c5)CCO6)c4)cc3cc2c1	0.714	0.251	0.732	-0.46299999999999997	4	1
78	CC[C@@H](O)c1cccc(Cl)c1	CC[C@@H](C#Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1C)c1cccc(Cl)c1	0.724	0.21	0.724	-0.514	4	1
79	CC(C)(C)C(C)(N)C#N	CC(C)(C)C(C)(C#N)NCc1cc(-c2ccc3c(c2)CCO3)co1	0.531	0.911	0.925	0.38	2	1
80	CC[C@H](NC(=O)OC(C)(C)C)C(=O)O	CC[C@H](NC(=O)OC(C)(C)C)C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5cccc(-c6ccc7c(c6)CCO7)c5)cc43)c2)cc1	0.726	0.174	0.872	-0.552	4	1
81	CC1CC(CN)CCS1	CC1CC(CNCc2cc(-c3ccc4c(c3)CCO4)co2)CCS1	0.605	0.866	0.919	0.261	2	1
82	CCC1(C(=O)O)CC1(F)F	CCC1(C(=O)Cc2ccc(-c3ccc4c(c3)CCO4)cc2)CC1(F)F	0.647	0.777	0.822	0.13	2	1
83	CCCC(=O)C(C)Br	CCc1c(C(C)C#Cc2ccc(-c3cccc4c3CCO4)cc2C)[nH]c2ccc(CC(=O)O)cc12	0.606	0.336	0.844	-0.26999999999999996	3	1
84	NCc1ccc(C(F)F)cc1	FC(F)c1ccc(CNCc2cc(-c3ccc4c(c3)CCO4)co2)cc1	0.698	0.667	0.891	-0.030999999999999917	2	1
85	Nc1ccc(C(F)(F)F)cc1Cl	FC(F)(F)c1cc(Cl)c2[nH]c(-c3cccc(-c4ccc5cc6[nH]c(-c7cccc(-c8ccc9c(c8)CCO9)c7)cc6cc5c4)c3)cc2c1	0.633	0.195	0.633	-0.438	4	1
86	Cc1c(Cl)cc(F)c(N)c1F	Cc1c(Cl)cc(F)c(NCc2cc(-c3ccc4c(c3)CCO4)co2)c1F	0.606	0.632	0.863	0.026000000000000023	2	1
87	Cc1ccc(Cl)c(N)c1Cl	Cc1ccc(Cl)c(NCc2cc(-c3ccc4c(c3)CCO4)co2)c1Cl	0.604	0.598	0.827	-0.006000000000000005	2	1
88	NCCS(=O)(=O)CC(F)(F)F	O=S(=O)(CCNCc1cc(-c2ccc3c(c2)OCC3)co1)CC(F)(F)F	0.678	0.738	0.799	0.05999999999999994	2	1
89	O[C@H]1CN[C@@H](C2CC2)C1	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#C[C@H]1CN[C@@H](C2CC2)C1	0.524	0.819	0.819	0.29499999999999993	3	1
90	CCOC1CNCC1CO	CCOC1CN(Cc2cc(-c3ccc4c(ccc5[nH]c(-c6ccc7c(c6)CCC7)cc54)c3)co2)CC1CO	0.568	0.262	0.902	-0.30599999999999994	3	1
91	CCOc1ccccc1O	CCOc1ccccc1-c1ccc2c(ccc3[nH]c(-c4cccc(-c5ccc6c(c5)OCC6)c4)cc32)c1	0.675	0.267	0.714	-0.40800000000000003	4	1
92	Cc1ccc(F)c(N)c1Br	Cc1ccc(F)c(N)c1-c1cccc(-c2ccc3c(c2)CCO3)c1F	0.645	0.658	0.781	0.013000000000000012	2	1
93	Cc1ccc(I)cc1O	Cc1ccc(C#Cc2ccc(-c3ccc4c(c3)CCO4)cc2C)cc1O	0.683	0.631	0.724	-0.052000000000000046	2	1
94	CC(C)C(C)(Br)C(=O)O	CC(C)C(C)(Br)C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.683	0.659	0.739	-0.02400000000000002	2	1
95	CS(=O)(=O)c1cccc(O)c1	CS(=O)(=O)c1cccc(-c2ccc3c(ccc4[nH]c(-c5cccc(-c6cccc7c6CCO7)c5)cc43)c2)c1	0.681	0.262	0.744	-0.41900000000000004	4	1
96	CC1(CN)CC1(Cl)Cl	CC1(CNCc2cc(-c3ccc4c(c3)CCO4)co2)CC1(Cl)Cl	0.569	0.802	0.857	0.2330000000000001	2	1
97	NC1(CCF)CC(O)C1	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#CC1CC(N)(CCF)C1	0.565	0.833	0.833	0.268	3	1
98	C[C@]1(O)C[C@@H](N)C1	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#C[C@]1(C)C[C@H](N)C1	0.446	0.805	0.805	0.35900000000000004	3	1
99	Oc1cc(Cl)ccc1F	Fc1ccc(Cl)cc1-c1ccc2cc3[nH]c(-c4ccc5c(c4)CCC5)cc3cc2c1	0.595	0.303	0.627	-0.292	3	1
100	Oc1ccc(F)cc1Cl	Fc1ccc(-c2ccc3cc4[nH]c(-c5cccc(-c6ccc7c(c6)CCO7)c5)cc4cc3c2)c(Cl)c1	0.595	0.263	0.627	-0.33199999999999996	4	1
101	CC(C)(COCC(F)F)C(=O)O	CC(C)(COCC(F)F)C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5cccc(-c6ccc7c(c6)OCC7)c5)cc43)c2)cc1	0.698	0.167	0.756	-0.5309999999999999	4	1
102	CCN1CCC1C(=O)O	CCN1CCC1C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5cccc(-c6cccc7c6CCO7)c5)cc43)c2)cc1	0.577	0.212	0.846	-0.365	4	1
103	NC(=O)c1ccccc1I	Cc1cc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)ccc1C#Cc1ccccc1C(N)=O	0.748	0.23	0.807	-0.518	3	1
104	COc1ccc(O)cc1	COc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.613	0.348	0.694	-0.265	3	1
105	NCC1CC(F)C1	FC1CC(CNCc2cc(-c3ccc4c(c3)CCO4)co2)C1	0.519	0.914	0.914	0.395	2	1
106	N[C@H](CC(F)F)C(=O)O	N[C@H](CC(F)F)C(=O)Cc1ccc(-c2ccc3cc4[nH]c(-c5ccc6c(c5)CCC6)cc4cc3c2)cc1	0.58	0.251	0.906	-0.32899999999999996	3	1
107	NC[C@@H]1CCC[C@H](CF)C1	FC[C@H]1CCC[C@@H](CNCc2cc(-c3ccc4c(c3)CCO4)co2)C1	0.629	0.822	0.892	0.19299999999999995	2	1
108	NCC1C2CCC12	c1cc2c(cc1-c1coc(CNCC3C4CCC43)c1)CCO2	0.509	0.914	0.914	0.405	2	1
109	COCc1cc(Cl)ccc1N	COCc1cc(Cl)cc2cc(-c3cccc(-c4ccc5c(c4)OCC5)c3)[nH]c12	0.692	0.448	0.692	-0.24399999999999994	2	1
110	Cc1cc(Br)cnc1O	Cc1cc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cnc1O	0.673	0.359	0.673	-0.31400000000000006	2	1
111	Cc1cc(O)ccc1Cl	Cc1cc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)ccc1Cl	0.59	0.304	0.614	-0.286	3	1
112	Cc1cccc(O)c1Cl	Cc1cccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)c1Cl	0.59	0.304	0.614	-0.286	3	1
113	Oc1ccc(F)c(Br)c1	Oc1ccc(F)c(-c2ccc3c(c2)CCO3)c1	0.666	0.815	0.815	0.1489999999999999	1	1
114	CCC(CC#N)N1CCNCC1	CCC(CC#N)N1CCN(Cc2cc(-c3ccc4c(c3)OCC4)co2)CC1	0.668	0.781	0.834	0.11299999999999999	2	1
115	COC(CCN)C(F)(F)F	COC(CCNCc1cc(-c2ccc3c(c2)CCO3)co1)C(F)(F)F	0.66	0.764	0.819	0.10399999999999998	2	1
116	COCCc1cccc(O)c1	COCCc1cccc(-c2ccc3c(ccc4[nH]c(-c5cccc(-c6ccc7c(c6)CCO7)c5)cc43)c2)c1	0.712	0.252	0.753	-0.45999999999999996	4	1
117	Oc1cccc(OC(F)(F)F)c1	FC(F)(F)Oc1cccc(-c2ccc3cc4[nH]c(-c5ccc6c(c5)CCC6)cc4cc3c2)c1	0.714	0.3	0.732	-0.414	3	1
118	CC(C)N(C)C(=O)C1(C(=O)O)CC1	CC(C)N(C)C(=O)C1(C(=O)Cc2ccc(-c3ccc4c(c3)OCC4)cc2)CC1	0.659	0.714	0.773	0.05499999999999994	2	1
119	CC(CNC(=O)OC(C)(C)C)CC(=O)O	CC(CNC(=O)OC(C)(C)C)CC(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5cccc(-c6ccc7c(c6)CCO7)c5)cc43)c2)cc1	0.75	0.163	0.82	-0.587	4	1
120	CC(C)(CCN)S(C)(=O)=O	CC(C)(CCNCc1cc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)co1)S(C)(=O)=O	0.648	0.213	0.816	-0.43500000000000005	3	1
121	Oc1ccc(OC(F)F)cc1F	Fc1cc(OC(F)F)ccc1-c1ccc2cc3[nH]c(-c4cccc(-c5ccc6c(c5)CCO6)c4)cc3cc2c1	0.751	0.246	0.772	-0.505	4	1
122	Cc1cc(Cl)c(N)cc1Br	Cc1cc(Cl)c(N)cc1-c1cccc(-c2ccc3c(c2)CCO3)c1F	0.668	0.605	0.752	-0.06300000000000006	2	1
123	Oc1ccc(F)c(F)c1	Fc1ccc(-c2ccc3cc4[nH]c(-c5ccc6c(c5)CCC6)cc4cc3c2)cc1F	0.566	0.32	0.642	-0.24599999999999994	3	1
124	C[C@@H]1O[C@H]1C(=O)O	C[C@@H]1O[C@H]1C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.469	0.813	0.813	0.344	2	1
